มหาวิทยาลัย,ค่าใช้จ่าย,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ
สถาบันเทคโนโลยีจิตรลดา,"31,500",วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยราชภัฏพิบูลสงคราม,"12,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยราชภัฏสวนสุนันทา,"18,500",วศ.บ.วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering
มหาวิทยาลัยราชภัฏอุบลราชธานี,"9,076",วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,"14,000",วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,"20,000",วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,"16,120",วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System)
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,"15,000",วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,"15,000",วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.)
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,"15,000",อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.)
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,"13,750",วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,"12,000",วศ.บ.วิศวกรรมคอมพิวเตอร์,Programin Computer Engineering
มหาวิทยาลัยศรีปทุม,"374,600",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Sc. Computer Engineering
มหาวิทยาลัยหอการค้าไทย,"42,500",หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence)
มหาวิทยาลัยเทคโนโลยีมหานคร,"348,575",วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Computer Engineering
มหาวิทยาลัยรังสิต,"49,600",วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering
มหาวิทยาลัยธุรกิจบัณฑิตย์,"42,125",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering
มหาวิทยาลัยเกษมบัณฑิต,"35,250",วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering)
มหาวิทยาลัยสยาม,"37,938",วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering)
สถาบันการจัดการปัญญาภิวัฒน์,"48,000",หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,"60,000",บธ.บ. บริหารธุรกิจบัณฑิต (หลักสูตรนานาชาติ) แขนง DIGITAL SUPPLY CHAIN MANAGEMENT,B.B.A. Business Administration (International Program)
